agent_id,agent_name,phone_number,city,vehicle_type,joining_date,agent_rating,availability_status,updated_at
AGENT00053,Eesha Deshpande,4332808273,Mumbai,Cycle,2023-06-04,3.6,AVAILABLE,2026-05-13 17:23:16.862480
AGENT00054,Om Wali,7919929165,Delhi,Scooter,2022-12-04,4.7,OFFLINE,2026-05-13 17:23:16.862480
AGENT00055,Ikbal Andra,8623155131,Gurgaon,Scooter,2026-01-20,3.2,AVAILABLE,2026-05-13 17:23:16.862480
AGENT00056,Rachita Sem,3082792519,Bangalore,Car,2026-02-06,4.8,AVAILABLE,2026-05-13 17:23:16.862480
AGENT00057,Jagdish Bahri,3996378037,Gurgaon,Car,2023-02-07,4.8,BUSY,2026-05-13 17:23:16.862480
AGENT00058,Manya Desai,6789424749,Kolkata,Car,2023-02-14,4.9,OFFLINE,2026-05-13 17:23:16.862480
AGENT00059,Jagdish De,2287347441,Mumbai,Cycle,2023-04-24,4.0,BUSY,2026-05-13 17:23:16.862480
AGENT00060,Eta Kumer,9932469175,Delhi,Cycle,2025-08-26,3.8,OFFLINE,2026-05-13 17:23:16.862480
AGENT00061,Suhani Goda,9922510361,Jaipur,Scooter,2021-11-09,4.6,AVAILABLE,2026-05-13 17:23:16.863530
AGENT00062,Harsh Walia,5921350042,Kolkata,Scooter,2023-03-06,3.9,AVAILABLE,2026-05-13 17:23:16.863530
AGENT00063,Tamanna Gera,4086112667,Gurgaon,Bike,2025-09-15,3.1,BUSY,2026-05-13 17:23:16.863530
AGENT00064,Dev Ganguly,8245949607,Pune,Bike,2022-02-02,4.0,AVAILABLE,2026-05-13 17:23:16.863530
AGENT00065,Azaan Amble,8998573503,Delhi,Scooter,2023-03-24,3.2,OFFLINE,2026-05-13 17:23:16.863530
AGENT00066,George Morar,1078483459,Bangalore,Cycle,2026-04-02,3.9,OFFLINE,2026-05-13 17:23:16.863530
AGENT00067,Harrison Singhal,8405274310,Gurgaon,Bike,2025-05-10,4.2,OFFLINE,2026-05-13 17:23:16.863530
AGENT00068,Abhimanyu Prabhu,7122872131,Jaipur,Bike,2023-12-14,3.1,AVAILABLE,2026-05-13 17:23:16.863530
AGENT00069,Pranav Pant,1246314410,Pune,Cycle,2022-05-23,3.5,AVAILABLE,2026-05-13 17:23:16.863530
AGENT00070,Nitesh Chaudry,7304722320,Pune,Cycle,2021-10-01,3.8,BUSY,2026-05-13 17:23:16.863530
AGENT00071,Daksh Kala,2120094809,Kolkata,Bike,2022-09-16,4.3,OFFLINE,2026-05-13 17:23:16.863530
AGENT00072,Mugdha Bhandari,0462656041,Delhi,Scooter,2023-03-16,4.5,OFFLINE,2026-05-13 17:23:16.863530
AGENT00073,Dayita Chaudhari,3757250011,Pune,Bike,2022-08-16,3.5,OFFLINE,2026-05-13 17:23:16.863530
AGENT00074,Saanvi Dua,3381497058,Pune,Cycle,2022-06-11,3.8,OFFLINE,2026-05-13 17:23:16.863530
AGENT00075,Rohan Nazareth,8709065778,Mumbai,Scooter,2023-08-17,3.1,AVAILABLE,2026-05-13 17:23:16.863530
AGENT00076,Inaya Bhandari,8639354289,Jaipur,Bike,2023-02-15,4.0,OFFLINE,2026-05-13 17:23:16.863530
AGENT00077,Kai Narasimhan,5813466805,Chennai,Scooter,2022-01-09,3.2,BUSY,2026-05-13 17:23:16.863530
AGENT00078,Amaira Bala,5588786197,Mumbai,Car,2023-11-21,4.6,AVAILABLE,2026-05-13 17:23:16.863530
AGENT00079,Vihaan Hayre,5976088532,Hyderabad,Bike,2026-01-16,4.5,OFFLINE,2026-05-13 17:23:16.863530
AGENT00080,Rushil Virk,6437534156,Gurgaon,Bike,2024-03-22,3.9,BUSY,2026-05-13 17:23:16.863530
AGENT00081,Sneha Atwal,2709012380,Hyderabad,Cycle,2024-10-03,4.9,OFFLINE,2026-05-13 17:23:16.863530
AGENT00082,Azad Vasa,3881828094,Pune,Bike,2024-06-17,3.3,AVAILABLE,2026-05-13 17:23:16.864549
AGENT00083,Kritika Swamy,3474867587,Gurgaon,Bike,2021-07-12,4.0,OFFLINE,2026-05-13 17:23:16.864549
AGENT00084,Qadim Kata,0515655047,Hyderabad,Bike,2021-06-18,4.5,BUSY,2026-05-13 17:23:16.864549
AGENT00085,Watika Bandi,9126948796,Chennai,Bike,2022-01-07,3.6,BUSY,2026-05-13 17:23:16.864549
AGENT00086,Devika Dyal,2487358906,Mumbai,Car,2022-07-10,4.4,BUSY,2026-05-13 17:23:16.864549
AGENT00087,Vinaya Agate,6163180875,Chennai,Bike,2023-04-01,3.3,OFFLINE,2026-05-13 17:23:16.864549
AGENT00088,Turvi Bansal,7641828391,Hyderabad,Car,2023-04-11,5.0,BUSY,2026-05-13 17:23:16.864549
AGENT00089,Brijesh Atwal,3186911812,Gurgaon,Cycle,2023-04-24,4.9,AVAILABLE,2026-05-13 17:23:16.864549
AGENT00090,Advay Sibal,7526825515,Hyderabad,Cycle,2023-02-01,3.1,AVAILABLE,2026-05-13 17:23:16.864549
AGENT00091,Ekbal Master,0343571104,Bangalore,Car,2021-05-18,3.0,BUSY,2026-05-13 17:23:16.864549
AGENT00092,Anmol Bora,5567630085,Kolkata,Scooter,2024-08-09,3.6,AVAILABLE,2026-05-13 17:23:16.864549
AGENT00093,Oviya Datta,8333408792,Chennai,Scooter,2023-11-20,3.3,BUSY,2026-05-13 17:23:16.864549
AGENT00094,Hema Khare,5505797204,Jaipur,Scooter,2025-07-20,4.8,AVAILABLE,2026-05-13 17:23:16.864549
AGENT00095,Gagan Sankar,1162942988,Delhi,Cycle,2025-09-07,3.1,OFFLINE,2026-05-13 17:23:16.864549
AGENT00096,Suhani Sami,0152086591,Delhi,Car,2025-01-02,3.0,OFFLINE,2026-05-13 17:23:16.864549
AGENT00097,Peter Nigam,9159140705,Kolkata,Cycle,2022-11-25,4.5,OFFLINE,2026-05-13 17:23:16.864549
AGENT00098,Chandani Nigam,4014973715,Kolkata,Car,2021-10-08,3.1,BUSY,2026-05-13 17:23:16.864549
AGENT00099,Triveni Ramesh,8654580195,Hyderabad,Car,2022-12-19,4.8,BUSY,2026-05-13 17:23:16.864549
AGENT00100,Wakeeta Baria,8527684075,Delhi,Scooter,2024-06-29,3.7,BUSY,2026-05-13 17:23:16.864549
AGENT00101,Laksh Agrawal,4296517524,Gurgaon,Bike,2025-01-28,4.8,BUSY,2026-05-13 17:23:16.864549
AGENT00102,Alka Varkey,9163335551,Chennai,Car,2022-08-29,5.0,OFFLINE,2026-05-13 17:23:16.864549
AGENT00103,Chaitaly Kothari,7314073913,Delhi,Cycle,2023-05-13,4.9,AVAILABLE,2026-05-13 17:23:16.864549
AGENT00104,Hredhaan Chokshi,8111442085,Delhi,Bike,2025-08-26,3.7,BUSY,2026-05-13 17:23:16.864549
AGENT00105,Rishi Varghese,1750870440,Hyderabad,Scooter,2026-02-08,4.5,OFFLINE,2026-05-13 17:23:16.864549
AGENT00106,Patrick Dhillon,2228953436,Bangalore,Scooter,2024-05-09,4.7,BUSY,2026-05-13 17:23:16.864549
AGENT00107,Amara Dugar,1573609439,Chennai,Scooter,2022-03-25,4.2,BUSY,2026-05-13 17:23:16.864549
AGENT00108,Advik Banik,6228791044,Chennai,Bike,2025-03-15,4.9,BUSY,2026-05-13 17:23:16.864549
AGENT00109,Qadim Mistry,2717958601,Gurgaon,Bike,2021-09-24,3.2,BUSY,2026-05-13 17:23:16.864549
AGENT00110,Isaiah Venkatesh,0515659321,Bangalore,Bike,2023-03-24,3.4,AVAILABLE,2026-05-13 17:23:16.864549
AGENT00111,Max Kara,4543461903,Mumbai,Scooter,2021-05-29,3.8,BUSY,2026-05-13 17:23:16.864549
AGENT00112,Netra Keer,8302906096,Hyderabad,Bike,2025-01-31,3.5,BUSY,2026-05-13 17:23:16.864549
AGENT00113,Harrison Kalita,1533830732,Pune,Car,2025-05-17,4.7,AVAILABLE,2026-05-13 17:23:16.864549
AGENT00114,Upkaar Ranganathan,5188108351,Mumbai,Cycle,2025-02-25,3.5,OFFLINE,2026-05-13 17:23:16.864549
AGENT00115,Pavani Mitra,7092075282,Pune,Scooter,2025-06-20,3.2,AVAILABLE,2026-05-13 17:23:16.866066
AGENT00116,Nirja Rege,1055672897,Kolkata,Cycle,2022-05-26,3.8,OFFLINE,2026-05-13 17:23:16.866066
AGENT00117,Fiyaz Buch,7437338573,Bangalore,Scooter,2021-07-22,4.7,BUSY,2026-05-13 17:23:16.866066
AGENT00118,Advay Mallick,5046638863,Pune,Car,2021-10-19,4.8,BUSY,2026-05-13 17:23:16.866066
AGENT00119,Ladli Yadav,5999205550,Gurgaon,Cycle,2021-12-10,4.2,AVAILABLE,2026-05-13 17:23:16.866066
AGENT00120,Anvi Saran,5418490387,Mumbai,Car,2023-01-17,3.7,BUSY,2026-05-13 17:23:16.866066
AGENT00121,Ayaan Tara,9025452172,Chennai,Cycle,2023-08-24,4.0,OFFLINE,2026-05-13 17:23:16.866066
AGENT00122,Samar Mohan,3930380278,Chennai,Cycle,2023-02-16,4.1,BUSY,2026-05-13 17:23:16.866066
AGENT00123,Ekavir Anand,3209171903,Jaipur,Cycle,2024-05-06,3.5,BUSY,2026-05-13 17:23:16.866066
AGENT00124,Pratyush Sengupta,2734507808,Bangalore,Car,2021-08-28,4.1,AVAILABLE,2026-05-13 17:23:16.866066
AGENT00125,Chakradhar Agrawal,7062390989,Bangalore,Scooter,2025-10-20,4.1,OFFLINE,2026-05-13 17:23:16.866066
AGENT00126,Watika Cheema,9401408909,Hyderabad,Scooter,2021-09-06,3.8,AVAILABLE,2026-05-13 17:23:16.866595
AGENT00127,Charan Goswami,0315365412,Chennai,Cycle,2025-09-17,3.1,BUSY,2026-05-13 17:23:16.866595
AGENT00128,Kamala Suri,9221439852,Delhi,Cycle,2024-12-02,3.8,AVAILABLE,2026-05-13 17:23:16.866595
AGENT00129,Unni Bava,8902933786,Gurgaon,Car,2021-10-05,4.0,AVAILABLE,2026-05-13 17:23:16.866595
AGENT00130,Dayita Atwal,0384610500,Gurgaon,Bike,2022-05-07,3.8,BUSY,2026-05-13 17:23:16.866595
AGENT00131,Isha Sura,9530663632,Delhi,Car,2022-04-24,4.0,BUSY,2026-05-13 17:23:16.866595
AGENT00132,Harrison Bhagat,3701426395,Jaipur,Bike,2024-08-20,3.1,OFFLINE,2026-05-13 17:23:16.866595
AGENT00133,Nitesh Hayre,2832673989,Hyderabad,Scooter,2025-04-18,3.1,OFFLINE,2026-05-13 17:23:16.866595
AGENT00134,Amruta Bhalla,4879936229,Jaipur,Scooter,2022-09-26,3.6,BUSY,2026-05-13 17:23:16.866595
AGENT00135,Bhanumati Om,6996636416,Delhi,Scooter,2024-05-01,3.8,BUSY,2026-05-13 17:23:16.866595
AGENT00136,Ishani Shan,2109489168,Gurgaon,Cycle,2021-10-10,4.9,BUSY,2026-05-13 17:23:16.866595
AGENT00137,Watika Venkatesh,3893089609,Delhi,Scooter,2022-02-01,4.8,OFFLINE,2026-05-13 17:23:16.866595
AGENT00138,Arunima Sathe,8678782437,Hyderabad,Bike,2023-09-22,3.7,BUSY,2026-05-13 17:23:16.866595
AGENT00139,Divya Narayanan,4018680472,Hyderabad,Bike,2022-05-05,5.0,OFFLINE,2026-05-13 17:23:16.866595
AGENT00140,Janya Bera,1772671561,Delhi,Car,2023-12-23,4.1,AVAILABLE,2026-05-13 17:23:16.866595
AGENT00141,Nihal Batta,5304897396,Mumbai,Car,2025-01-13,3.2,BUSY,2026-05-13 17:23:16.866595
AGENT00142,Watika Bath,5228250888,Kolkata,Car,2023-09-25,3.5,BUSY,2026-05-13 17:23:16.866595
AGENT00143,Yoshita Bassi,6010815990,Hyderabad,Car,2024-10-22,3.7,OFFLINE,2026-05-13 17:23:16.866595
AGENT00144,Oviya Shroff,3792799484,Gurgaon,Scooter,2024-05-25,3.3,OFFLINE,2026-05-13 17:23:16.866595
AGENT00145,Tanveer Dey,1193762113,Jaipur,Scooter,2023-05-13,3.3,BUSY,2026-05-13 17:23:16.866595
AGENT00146,Rajeshri Gola,2058220335,Hyderabad,Car,2021-08-28,4.7,OFFLINE,2026-05-13 17:23:16.867605
AGENT00147,Gavin Oza,8252855708,Pune,Scooter,2025-03-01,3.3,OFFLINE,2026-05-13 17:23:16.867605
AGENT00148,Rachit Gera,5037401689,Bangalore,Cycle,2023-08-25,3.0,OFFLINE,2026-05-13 17:23:16.867605
AGENT00149,Raagini Dubey,4701860995,Kolkata,Scooter,2022-12-23,3.2,OFFLINE,2026-05-13 17:23:16.867605
AGENT00150,Naveen Bhardwaj,5591603636,Kolkata,Cycle,2021-11-03,4.5,AVAILABLE,2026-05-13 17:23:16.867605
AGENT00151,Falan Chaudhry,2527434178,Mumbai,Scooter,2021-10-16,3.9,OFFLINE,2026-05-13 17:23:16.867605
AGENT00152,Harrison Parmar,9083095789,Gurgaon,Cycle,2025-08-23,3.2,BUSY,2026-05-13 17:23:16.867605
AGENT00153,Vincent Dara,9695469172,Pune,Car,2021-06-06,4.5,AVAILABLE,2026-05-13 17:23:16.867605
AGENT00154,Yasti Divan,9594324432,Pune,Car,2023-11-06,4.7,BUSY,2026-05-13 17:23:16.867605
AGENT00155,Fiyaz Chokshi,8864391284,Mumbai,Bike,2021-09-26,3.8,OFFLINE,2026-05-13 17:23:16.867605
AGENT00156,Nilima Ratta,9797543937,Hyderabad,Bike,2024-01-12,4.5,BUSY,2026-05-13 17:23:16.867605
AGENT00157,Ishwar Gala,1230355963,Pune,Bike,2023-04-01,3.6,OFFLINE,2026-05-13 17:23:16.867605
AGENT00158,Chaman Karan,7045583072,Hyderabad,Car,2023-04-09,4.9,AVAILABLE,2026-05-13 17:23:16.867605
AGENT00159,Sai Bandi,3206087987,Hyderabad,Cycle,2023-03-13,4.2,AVAILABLE,2026-05-13 17:23:16.867605
AGENT00160,Leena Thakur,0811336303,Mumbai,Cycle,2024-05-12,3.1,BUSY,2026-05-13 17:23:16.867605
AGENT00161,Udant Devan,1144257160,Chennai,Bike,2024-10-02,3.2,AVAILABLE,2026-05-13 17:23:16.867605
AGENT00162,Ekiya Sarin,6059413367,Jaipur,Bike,2023-03-15,3.7,OFFLINE,2026-05-13 17:23:16.867605
AGENT00163,Arin Mittal,9123669757,Hyderabad,Cycle,2026-01-12,3.3,OFFLINE,2026-05-13 17:23:16.867605
AGENT00164,Garima Bhatti,0739923409,Pune,Cycle,2024-03-28,3.7,OFFLINE,2026-05-13 17:23:16.867605
AGENT00165,Gabriel Borde,3712633940,Delhi,Bike,2025-05-26,4.8,BUSY,2026-05-13 17:23:16.867605
AGENT00166,Osha Bhatti,7209553057,Jaipur,Bike,2022-10-01,4.6,OFFLINE,2026-05-13 17:23:16.867605
AGENT00167,Jalsa Grover,2108885400,Delhi,Scooter,2023-01-24,4.8,AVAILABLE,2026-05-13 17:23:16.867605
AGENT00168,Brijesh Bail,1980087870,Hyderabad,Scooter,2025-05-01,4.8,BUSY,2026-05-13 17:23:16.867605
AGENT00169,Shivani Om,6221304575,Hyderabad,Scooter,2023-01-13,4.7,OFFLINE,2026-05-13 17:23:16.867605
AGENT00170,Girish Boase,5942577504,Jaipur,Scooter,2024-05-27,3.6,BUSY,2026-05-13 17:23:16.867605
AGENT00171,Eesha Vig,9478971481,Kolkata,Car,2026-01-13,3.6,AVAILABLE,2026-05-13 17:23:16.868942
AGENT00172,Aarav Thaker,8067005678,Bangalore,Bike,2025-01-04,4.5,BUSY,2026-05-13 17:23:16.868942
AGENT00173,Xavier Hayer,7603467886,Hyderabad,Scooter,2022-06-15,3.1,AVAILABLE,2026-05-13 17:23:16.868942
AGENT00174,Nachiket De,6840518370,Bangalore,Car,2021-12-06,3.6,OFFLINE,2026-05-13 17:23:16.868942
AGENT00175,Lucky Venkatesh,7933225436,Pune,Bike,2022-02-21,3.4,AVAILABLE,2026-05-13 17:23:16.868942
AGENT00176,Januja Dave,8326382210,Kolkata,Car,2024-07-15,3.8,BUSY,2026-05-13 17:23:16.868942
AGENT00177,Ira Karpe,9386890931,Hyderabad,Bike,2021-06-17,3.3,AVAILABLE,2026-05-13 17:23:16.868942
AGENT00178,Kiaan Swaminathan,3506752105,Pune,Scooter,2024-10-23,3.7,OFFLINE,2026-05-13 17:23:16.868942
AGENT00179,Aarnav Varkey,0156701018,Pune,Scooter,2022-01-09,3.5,OFFLINE,2026-05-13 17:23:16.868942
AGENT00180,Keya Doshi,9190835311,Chennai,Scooter,2025-06-09,4.5,BUSY,2026-05-13 17:23:16.868942
AGENT00181,Qushi Mani,3373055436,Chennai,Scooter,2023-01-09,3.3,OFFLINE,2026-05-13 17:23:16.868942
AGENT00182,Pahal Badami,7669755659,Gurgaon,Bike,2024-07-21,3.6,AVAILABLE,2026-05-13 17:23:16.868942
AGENT00183,Udyati Tripathi,3171790764,Pune,Scooter,2021-06-20,4.5,AVAILABLE,2026-05-13 17:23:16.868942
AGENT00184,Onkar Brahmbhatt,7386106198,Gurgaon,Cycle,2025-02-02,3.1,OFFLINE,2026-05-13 17:23:16.868942
AGENT00185,Reyansh Arora,4478639559,Mumbai,Car,2023-02-23,4.5,OFFLINE,2026-05-13 17:23:16.868942
AGENT00186,Kai Majumdar,9647480315,Chennai,Car,2022-03-30,4.7,OFFLINE,2026-05-13 17:23:16.868942
AGENT00187,Luke Jani,9341325946,Hyderabad,Bike,2024-02-06,3.5,AVAILABLE,2026-05-13 17:23:16.868942
AGENT00188,Reyansh Munshi,3971581536,Delhi,Cycle,2025-03-24,4.1,BUSY,2026-05-13 17:23:16.868942
AGENT00189,Jalsa Srinivas,9751430020,Pune,Scooter,2025-02-04,3.7,AVAILABLE,2026-05-13 17:23:16.868942
AGENT00190,Udarsh Lad,3520237368,Jaipur,Scooter,2025-04-30,3.3,BUSY,2026-05-13 17:23:16.868942
AGENT00191,Viraj Nagy,3469538539,Mumbai,Cycle,2022-01-03,3.0,OFFLINE,2026-05-13 17:23:16.868942
AGENT00192,Bhavani Swamy,1394711369,Kolkata,Car,2021-12-04,3.8,AVAILABLE,2026-05-13 17:23:16.869947
AGENT00193,Manbir Jaggi,6599626505,Jaipur,Car,2023-02-26,4.4,BUSY,2026-05-13 17:23:16.869947
AGENT00194,Manan Shetty,8682335869,Chennai,Bike,2025-04-05,4.6,AVAILABLE,2026-05-13 17:23:16.869947
AGENT00195,Amaira Kakar,0459714592,Mumbai,Scooter,2024-10-15,4.9,OFFLINE,2026-05-13 17:23:16.869947
AGENT00196,Ishaan Srinivasan,2803443969,Chennai,Car,2024-12-21,5.0,AVAILABLE,2026-05-13 17:23:16.869947
AGENT00197,Yamini Mani,1773793966,Jaipur,Car,2022-07-13,4.0,OFFLINE,2026-05-13 17:23:16.869947
AGENT00198,Abhimanyu Puri,3859868583,Jaipur,Scooter,2021-12-23,4.1,BUSY,2026-05-13 17:23:16.869947
AGENT00199,Varenya Varma,2424488579,Delhi,Bike,2025-11-11,4.6,AVAILABLE,2026-05-13 17:23:16.869947
AGENT00200,Girik Sachar,4591235540,Delhi,Car,2025-08-31,3.1,BUSY,2026-05-13 17:23:16.869947
AGENT00201,Ria Lal,4614416329,Chennai,Scooter,2023-09-12,3.7,BUSY,2026-05-13 17:23:16.869947
AGENT00202,Jai Puri,1935408492,Pune,Cycle,2021-06-07,4.8,AVAILABLE,2026-05-13 17:23:16.869947
AGENT00203,Zaitra Chopra,9081569327,Gurgaon,Car,2021-07-04,3.8,BUSY,2026-05-13 17:23:16.869947
AGENT00204,Dev Suri,1187703054,Delhi,Cycle,2024-07-15,3.4,AVAILABLE,2026-05-13 17:23:16.869947
AGENT00205,Bakhshi Brahmbhatt,8927564672,Hyderabad,Car,2022-09-11,3.6,AVAILABLE,2026-05-13 17:23:16.869947
AGENT00206,Gaurangi Brahmbhatt,8415658262,Gurgaon,Cycle,2023-01-16,4.5,AVAILABLE,2026-05-13 17:23:16.869947
AGENT00207,Yatin Magar,2093410954,Delhi,Scooter,2024-09-22,3.1,OFFLINE,2026-05-13 17:23:16.869947
AGENT00208,Chanakya Pal,9559023723,Bangalore,Car,2021-06-19,3.6,AVAILABLE,2026-05-13 17:23:16.869947
AGENT00209,Nathaniel Bahl,2817637474,Mumbai,Bike,2022-04-15,3.1,BUSY,2026-05-13 17:23:16.869947
AGENT00210,Anamika Tandon,7289349095,Hyderabad,Scooter,2025-10-28,4.2,BUSY,2026-05-13 17:23:16.869947
AGENT00211,Chatresh Sarin,5289629944,Gurgaon,Scooter,2026-02-25,3.7,OFFLINE,2026-05-13 17:23:16.869947
AGENT00212,Owen Guha,4964051692,Pune,Car,2024-12-27,4.3,AVAILABLE,2026-05-13 17:23:16.869947
AGENT00213,Ria Sethi,5098843324,Gurgaon,Scooter,2025-08-07,4.8,AVAILABLE,2026-05-13 17:23:16.869947
AGENT00214,Baghyawati Arya,1712929075,Bangalore,Cycle,2025-11-23,3.6,OFFLINE,2026-05-13 17:23:16.869947
AGENT00215,Tanay Shukla,6051055479,Delhi,Bike,2025-10-20,4.0,OFFLINE,2026-05-13 17:23:16.871021
